id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,claim_status
104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,owned,before 2015,0.0,1.0,32765,12000.0,sedan,0,0,0,claim
240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,owned,before 2015,0.0,1.0,10238,18000.0,sedan,0,0,0,claim
484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,leased,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,claim
912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,owned,after 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,claim
892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,owned,before 2015,1.0,1.0,10238,13000.0,sedan,3,1,1,no claim
217,16-25,male,majority,0-9y,none,poverty,0.5250327586154788,leased,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,no claim
633896,65+,male,majority,30y+,high school,upper class,0.5006306604427161,owned,before 2015,1.0,1.0,32765,7000.0,sedan,13,2,3,no claim
193110,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,owned,before 2015,1.0,0.0,10238,14000.0,sports car,0,0,0,no claim
98515,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,owned,before 2015,0.0,0.0,10238,13000.0,sedan,1,1,0,no claim
165623,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,owned,before 2015,1.0,0.0,10238,15000.0,sedan,0,0,1,no claim
493590,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,leased,after 2015,0.0,0.0,10238,17000.0,sedan,0,0,1,no claim
389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,owned,after 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,claim
642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,owned,after 2015,1.0,1.0,92101,7000.0,sedan,2,0,1,no claim
951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,owned,before 2015,1.0,1.0,10238,10000.0,sedan,3,1,1,no claim
496987,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,owned,before 2015,1.0,1.0,10238,9000.0,sedan,0,0,0,no claim
732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,owned,before 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,claim
146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,owned,before 2015,1.0,1.0,21217,11000.0,sedan,0,0,0,claim
316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,leased,after 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,claim
9013,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,owned,before 2015,0.0,1.0,10238,17000.0,sedan,3,0,2,no claim
511757,40-64,female,majority,10-19y,none,middle class,0.5250327586154788,owned,before 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,no claim
429947,65+,male,majority,30y+,university,upper class,0.5250327586154788,leased,after 2015,0.0,1.0,10238,12000.0,sports car,6,0,5,no claim
485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,owned,before 2015,0.0,1.0,92101,14000.0,sedan,1,0,1,no claim
80496,65+,male,majority,30y+,high school,upper class,0.7054542902137054,owned,before 2015,1.0,1.0,10238,10000.0,sedan,5,1,3,no claim
478336,40-64,male,majority,20-29y,university,upper class,0.6595254905875941,owned,after 2015,0.0,1.0,10238,16000.0,sedan,4,0,2,no claim
10843,40-64,male,majority,20-29y,university,upper class,0.5873836120460223,leased,after 2015,1.0,1.0,32765,9000.0,sedan,10,2,0,no claim
397446,16-25,male,majority,0-9y,none,poverty,0.4064824253974476,leased,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,claim
101678,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,leased,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,0,claim
231661,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,leased,before 2015,0.0,0.0,10238,14000.0,sports car,3,0,4,no claim
173782,65+,male,majority,20-29y,high school,upper class,0.6256257210210231,owned,after 2015,1.0,1.0,10238,7000.0,sedan,7,0,5,no claim
921097,40-64,female,majority,20-29y,university,upper class,0.5250327586154788,owned,after 2015,1.0,1.0,92101,11000.0,sedan,3,0,2,no claim
98839,26-39,female,minority,10-19y,university,working class,0.3931531299744003,owned,before 2015,0.0,1.0,32765,12000.0,sedan,1,0,0,no claim
105372,26-39,female,minority,10-19y,none,working class,0.5039497598168121,leased,before 2015,0.0,1.0,10238,14000.0,sedan,1,0,0,no claim
888828,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,owned,before 2015,1.0,0.0,10238,14000.0,sedan,3,0,2,no claim
37454,26-39,female,majority,0-9y,high school,working class,0.5241464657501199,leased,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,claim
370044,65+,male,majority,20-29y,university,upper class,0.5531007570628673,leased,after 2015,1.0,1.0,32765,7000.0,sedan,9,0,1,no claim
768282,16-25,female,majority,0-9y,university,working class,0.4475509489142775,leased,before 2015,1.0,1.0,10238,8000.0,sedan,0,0,0,claim
738729,16-25,female,majority,0-9y,none,working class,0.5107331365064207,owned,before 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,claim
437535,26-39,female,majority,10-19y,high school,middle class,0.5250327586154788,owned,after 2015,1.0,0.0,10238,15000.0,sedan,0,0,0,no claim
329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,leased,before 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,claim
328531,40-64,female,majority,20-29y,university,middle class,0.3875569443647317,leased,after 2015,0.0,1.0,32765,12000.0,sedan,2,0,1,no claim
123941,40-64,female,majority,20-29y,university,middle class,0.5701572256616224,owned,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,no claim
131881,26-39,male,majority,10-19y,university,working class,0.5501250875743224,owned,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,no claim
839572,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,leased,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,1,no claim
171578,26-39,male,majority,10-19y,university,upper class,0.5250327586154788,owned,before 2015,1.0,1.0,10238,8000.0,sedan,2,0,1,no claim
589757,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,owned,before 2015,1.0,1.0,92101,7000.0,sedan,2,0,0,no claim
336859,16-25,female,majority,0-9y,university,middle class,0.6147359485632915,owned,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,claim
788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,owned,before 2015,1.0,1.0,10238,12000.0,sedan,1,0,1,no claim
407453,40-64,female,majority,0-9y,university,upper class,0.6137409183819416,owned,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,no claim
367026,40-64,female,minority,10-19y,high school,working class,0.5326613280250595,owned,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,no claim
334687,40-64,female,minority,0-9y,university,middle class,0.4277285143019345,owned,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,claim
623367,65+,male,majority,20-29y,university,upper class,0.6859457213719147,owned,before 2015,1.0,1.0,32765,5000.0,sedan,4,1,4,no claim
688440,65+,male,majority,10-19y,university,upper class,0.6936124267187082,owned,before 2015,1.0,1.0,10238,10000.0,sedan,2,0,0,no claim
547974,65+,male,majority,20-29y,high school,upper class,0.5979905963582334,leased,before 2015,1.0,1.0,10238,12000.0,sedan,2,1,7,claim
989064,26-39,male,majority,0-9y,none,poverty,0.3308186664986927,leased,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,claim
422816,40-64,male,majority,20-29y,high school,working class,0.5250327586154788,owned,before 2015,0.0,0.0,10238,12000.0,sedan,5,0,7,no claim
307408,26-39,female,minority,10-19y,none,working class,0.5250327586154788,owned,before 2015,0.0,1.0,10238,9000.0,sedan,2,0,0,no claim
675898,16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,owned,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,no claim
480452,26-39,female,majority,0-9y,university,upper class,0.7641329165005233,owned,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,no claim
93199,40-64,female,majority,0-9y,university,middle class,0.4775169603837716,owned,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,no claim
125802,40-64,female,majority,20-29y,university,upper class,0.6812332078486962,owned,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,1,no claim
616663,40-64,male,majority,0-9y,university,upper class,0.4671555457007022,owned,after 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,no claim
423497,16-25,female,majority,0-9y,high school,working class,0.3941632454999797,owned,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,claim
492837,40-64,female,majority,10-19y,university,upper class,0.6610607322734078,owned,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,no claim
422563,40-64,male,majority,20-29y,university,upper class,0.6651879748430346,leased,before 2015,0.0,1.0,10238,14000.0,sedan,2,0,1,no claim
185231,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,owned,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,no claim
949152,26-39,female,majority,10-19y,university,upper class,0.7454327103696547,leased,after 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,no claim
859453,26-39,male,majority,10-19y,university,middle class,0.53257435224505,owned,before 2015,1.0,1.0,10238,13000.0,sedan,1,0,2,no claim
466578,26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,owned,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,no claim
998214,16-25,female,minority,0-9y,none,poverty,0.4124517461654282,leased,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,claim
828462,40-64,male,majority,20-29y,high school,working class,0.3871071449018297,leased,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,6,no claim
511837,65+,male,majority,10-19y,high school,middle class,0.5499938678343249,owned,before 2015,1.0,1.0,32765,9000.0,sedan,3,1,1,no claim
554995,16-25,male,majority,0-9y,university,upper class,0.5853420947575604,owned,before 2015,1.0,1.0,10238,12000.0,sports car,0,0,0,claim
680717,65+,male,majority,30y+,none,middle class,0.5987396054343311,owned,before 2015,1.0,1.0,10238,14000.0,sedan,6,1,3,no claim
978021,40-64,male,majority,20-29y,university,upper class,0.6026557000791793,owned,after 2015,1.0,1.0,10238,7000.0,sedan,4,0,6,no claim
509815,26-39,female,majority,0-9y,high school,working class,0.5114570584803535,owned,after 2015,1.0,1.0,32765,12000.0,sedan,0,0,0,no claim
6676,40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,leased,before 2015,0.0,1.0,10238,15000.0,sedan,3,0,2,no claim
362280,40-64,male,majority,10-19y,high school,working class,0.6284070137170304,leased,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,claim
883018,40-64,male,majority,0-9y,high school,working class,0.5057903732571783,owned,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,no claim
889355,26-39,female,majority,10-19y,university,upper class,0.7268184180645275,owned,before 2015,1.0,1.0,10238,15000.0,sedan,2,0,0,no claim
198273,65+,male,majority,20-29y,university,upper class,0.6904423335733175,owned,after 2015,1.0,1.0,32765,9000.0,sedan,8,0,2,no claim
197763,40-64,male,majority,20-29y,university,upper class,0.4796771646619314,leased,after 2015,1.0,0.0,10238,14000.0,sedan,1,0,2,no claim
55670,26-39,male,majority,10-19y,university,upper class,0.5250327586154788,owned,after 2015,1.0,1.0,10238,11000.0,sedan,3,1,0,no claim
545941,40-64,female,majority,20-29y,none,working class,0.4405592041968235,owned,after 2015,1.0,1.0,10238,11000.0,sedan,1,0,2,no claim
814196,16-25,female,majority,0-9y,none,middle class,0.634052597196068,owned,before 2015,0.0,1.0,32765,12000.0,sedan,0,0,0,claim
560160,16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,leased,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,no claim
320444,26-39,male,majority,0-9y,none,poverty,0.3086490182004943,leased,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,no claim
305793,16-25,male,majority,0-9y,high school,poverty,0.2458351852340737,leased,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,claim
362190,16-25,male,majority,0-9y,high school,poverty,0.3056465190413162,leased,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,claim
62647,26-39,male,majority,10-19y,high school,upper class,0.7440140862681482,owned,before 2015,0.0,0.0,10238,13000.0,sedan,2,0,1,no claim
296948,40-64,male,majority,10-19y,university,upper class,0.6704645467899408,owned,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,no claim
673660,65+,female,majority,30y+,high school,upper class,0.6830407984824192,leased,after 2015,1.0,1.0,10238,10000.0,sedan,4,1,3,no claim
945867,16-25,male,majority,0-9y,university,middle class,0.828628569053192,owned,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,claim
391880,65+,male,majority,30y+,none,middle class,0.5250327586154788,owned,before 2015,1.0,1.0,32765,10000.0,sedan,12,2,2,no claim
241973,65+,female,majority,30y+,high school,upper class,0.6293380939717407,owned,before 2015,1.0,0.0,10238,11000.0,sedan,2,0,2,no claim
429503,16-25,male,majority,0-9y,high school,poverty,0.28372421050714,leased,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,claim
810013,16-25,male,majority,0-9y,university,working class,0.4576486815858435,owned,after 2015,0.0,0.0,10238,14000.0,sports car,0,0,0,claim
663458,16-25,female,majority,0-9y,high school,poverty,0.3049876423937953,leased,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,claim
879976,16-25,male,majority,0-9y,high school,working class,0.5517442884135392,leased,before 2015,1.0,1.0,32765,10000.0,sedan,0,0,0,claim
418841,16-25,male,minority,0-9y,none,poverty,0.3186855562451054,owned,before 2015,1.0,0.0,32765,9000.0,sedan,0,0,0,claim
542236,26-39,male,minority,10-19y,none,working class,0.436944194154781,owned,before 2015,0.0,0.0,10238,12000.0,sedan,3,0,0,no claim
937573,40-64,male,majority,10-19y,university,upper class,0.6291939843221722,owned,before 2015,1.0,1.0,32765,7000.0,sedan,5,0,1,no claim
670850,16-25,male,majority,0-9y,university,working class,0.4055600158887265,owned,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,claim
151252,16-25,male,majority,0-9y,university,middle class,0.6235462115803201,owned,before 2015,1.0,0.0,10238,11000.0,sedan,0,0,0,no claim
706349,65+,male,majority,10-19y,university,upper class,0.7270329897821235,owned,before 2015,1.0,1.0,10238,10000.0,sedan,1,1,2,no claim
602998,65+,male,majority,20-29y,none,working class,0.426828388879915,owned,before 2015,1.0,0.0,10238,14000.0,sedan,3,1,7,no claim
242772,26-39,female,majority,10-19y,none,middle class,0.5036589704487734,owned,before 2015,0.0,1.0,10238,10000.0,sedan,1,2,0,no claim
393449,26-39,female,majority,10-19y,high school,middle class,0.5250327586154788,leased,before 2015,0.0,0.0,10238,12000.0,sedan,2,0,0,no claim
380740,65+,male,majority,30y+,university,upper class,0.7264400018455291,owned,after 2015,1.0,1.0,10238,7000.0,sedan,2,0,3,no claim
938115,16-25,female,majority,0-9y,none,poverty,0.2444900931240796,leased,before 2015,0.0,1.0,32765,12000.0,sedan,0,0,0,claim
727943,16-25,male,majority,0-9y,university,middle class,0.5757707974509628,owned,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,claim
766309,16-25,male,majority,0-9y,high school,poverty,0.5250327586154788,leased,before 2015,0.0,0.0,10238,10000.0,sports car,0,0,0,claim
261229,16-25,male,majority,0-9y,university,working class,0.468671965728324,owned,after 2015,0.0,1.0,32765,9000.0,sedan,0,0,0,claim
60866,65+,male,majority,20-29y,university,upper class,0.6970834558464781,leased,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,2,no claim
752797,40-64,female,majority,20-29y,high school,working class,0.5429181079423034,owned,before 2015,0.0,0.0,10238,15000.0,sedan,1,1,0,no claim
45002,65+,male,majority,30y+,high school,upper class,0.6722562535141292,owned,before 2015,1.0,1.0,10238,9000.0,sedan,4,1,2,no claim
482448,16-25,male,majority,0-9y,none,poverty,0.3864066185703315,leased,before 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,claim
549142,16-25,male,majority,0-9y,university,middle class,0.5512978330713669,owned,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,claim
95138,40-64,male,majority,20-29y,high school,middle class,0.5985570254244251,leased,after 2015,1.0,0.0,10238,14000.0,sedan,4,1,4,no claim
851152,26-39,female,majority,10-19y,none,working class,0.5250327586154788,leased,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,1,no claim
615991,40-64,female,majority,20-29y,high school,upper class,0.5824219946087406,owned,after 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,no claim
424820,26-39,female,minority,10-19y,high school,middle class,0.540182723180248,owned,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,1,no claim
807847,65+,male,majority,20-29y,university,upper class,0.6330139475122963,owned,after 2015,0.0,1.0,10238,14000.0,sedan,3,1,4,no claim
758983,40-64,male,majority,20-29y,high school,middle class,0.552204630296896,owned,after 2015,1.0,0.0,32765,12000.0,sedan,6,0,3,no claim
987114,26-39,female,majority,0-9y,university,middle class,0.3266816101781183,leased,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,claim
873457,40-64,male,minority,20-29y,high school,middle class,0.5880825424047316,owned,before 2015,1.0,1.0,10238,13000.0,sedan,7,1,1,no claim
699703,65+,female,majority,0-9y,university,upper class,0.7022748020975709,leased,before 2015,1.0,1.0,92101,10000.0,sedan,0,0,0,claim
563342,65+,female,majority,0-9y,university,upper class,0.7266055391975765,owned,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,no claim
504412,26-39,male,majority,10-19y,university,working class,0.5250327586154788,leased,before 2015,1.0,1.0,10238,12000.0,sedan,3,2,3,claim
284106,65+,male,majority,30y+,university,upper class,0.73238212135242,owned,before 2015,1.0,1.0,10238,12000.0,sedan,5,1,5,no claim
78189,16-25,female,majority,0-9y,none,poverty,0.2012839211827758,owned,before 2015,0.0,0.0,32765,12000.0,sedan,0,0,0,claim
427520,26-39,male,majority,10-19y,university,middle class,0.4641607076311848,leased,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,no claim
689030,40-64,female,majority,20-29y,university,upper class,0.6579677428053038,owned,after 2015,1.0,0.0,92101,13000.0,sedan,1,0,1,no claim
966467,65+,male,majority,30y+,university,upper class,0.6002161554309658,owned,before 2015,1.0,1.0,10238,13000.0,sedan,5,2,4,no claim
288712,65+,male,majority,30y+,university,upper class,0.6663760181644964,owned,after 2015,1.0,1.0,10238,12000.0,sedan,3,0,7,no claim
228114,26-39,male,majority,0-9y,high school,working class,0.4031472802313768,owned,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,no claim
63715,65+,male,majority,20-29y,university,upper class,0.4169350441301069,owned,before 2015,0.0,1.0,10238,13000.0,sedan,5,1,5,no claim
624077,65+,female,majority,30y+,none,upper class,0.5948797136778915,owned,before 2015,1.0,1.0,32765,8000.0,sports car,10,0,1,no claim
726352,26-39,male,minority,10-19y,none,poverty,0.3804265034620669,leased,before 2015,1.0,1.0,10238,16000.0,sedan,1,0,1,no claim
150072,16-25,female,majority,0-9y,none,poverty,0.5250327586154788,leased,before 2015,0.0,0.0,21217,14000.0,sedan,0,0,0,claim
792396,65+,female,majority,30y+,university,upper class,0.680617632406099,owned,before 2015,1.0,1.0,10238,12000.0,sedan,1,2,2,no claim
768933,40-64,male,minority,0-9y,high school,working class,0.3559504699938693,owned,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,claim
452356,40-64,female,majority,10-19y,none,middle class,0.5250327586154788,owned,before 2015,0.0,1.0,32765,10000.0,sedan,2,0,0,no claim
849811,65+,female,minority,30y+,high school,upper class,0.587831426389767,owned,after 2015,1.0,0.0,32765,12000.0,sports car,3,0,1,no claim
579336,65+,female,majority,10-19y,university,upper class,0.5733880426029547,owned,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,2,no claim
648922,16-25,male,majority,0-9y,university,middle class,0.2964062828237805,owned,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,claim
47909,65+,male,majority,10-19y,university,upper class,0.4295096986208441,owned,before 2015,1.0,1.0,10238,10000.0,sedan,1,0,4,no claim
619577,65+,female,majority,30y+,university,upper class,0.6885687186194461,owned,after 2015,0.0,1.0,92101,11000.0,sedan,2,0,0,no claim
212678,65+,female,majority,20-29y,university,upper class,0.700017431968704,owned,after 2015,0.0,1.0,32765,13000.0,sedan,1,0,1,no claim
579720,26-39,male,majority,10-19y,university,working class,0.4495886310379405,leased,before 2015,0.0,1.0,10238,12000.0,sports car,0,0,1,claim
995884,40-64,female,majority,20-29y,university,upper class,0.6900455818778344,owned,after 2015,1.0,0.0,10238,11000.0,sedan,2,1,1,no claim
226326,40-64,female,minority,10-19y,university,working class,0.4960298730510012,owned,after 2015,0.0,0.0,10238,13000.0,sedan,0,0,1,no claim
943922,26-39,male,majority,10-19y,university,upper class,0.6563457625165399,leased,after 2015,1.0,1.0,32765,6000.0,sedan,8,0,0,no claim
510116,40-64,male,majority,0-9y,high school,middle class,0.4983566259941653,owned,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,no claim
536546,16-25,female,majority,0-9y,university,middle class,0.5463825431033477,owned,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,no claim
75592,40-64,female,majority,10-19y,high school,working class,0.3158628767091658,owned,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,1,no claim
487116,26-39,male,majority,10-19y,none,working class,0.5300643171181573,owned,before 2015,0.0,0.0,10238,12000.0,sedan,1,0,2,claim
936820,26-39,female,majority,10-19y,high school,working class,0.3578391720711443,owned,before 2015,0.0,1.0,32765,12000.0,sedan,1,0,0,claim
634050,65+,male,majority,10-19y,university,upper class,0.672756052841708,owned,after 2015,1.0,1.0,10238,9000.0,sedan,1,0,2,no claim
307397,40-64,male,majority,20-29y,university,upper class,0.7419993760301162,owned,after 2015,0.0,1.0,10238,12000.0,sedan,2,0,2,no claim
558748,65+,female,majority,30y+,university,upper class,0.6226519789949738,owned,after 2015,1.0,1.0,10238,11000.0,sedan,1,0,0,no claim
856630,16-25,female,majority,0-9y,high school,middle class,0.4801406677163008,leased,after 2015,0.0,0.0,32765,14000.0,sedan,0,0,0,claim
200009,65+,male,majority,30y+,university,upper class,0.6787954309829434,owned,after 2015,1.0,1.0,10238,11000.0,sedan,5,1,3,no claim
784462,65+,male,majority,30y+,university,upper class,0.5250327586154788,owned,before 2015,1.0,1.0,32765,10000.0,sedan,13,1,6,no claim
792252,40-64,female,majority,20-29y,university,upper class,0.5152467080125883,owned,after 2015,0.0,1.0,10238,12000.0,sedan,2,0,1,no claim
462586,26-39,male,majority,10-19y,none,working class,0.4899205986325767,owned,before 2015,0.0,1.0,10238,13000.0,sedan,3,0,1,no claim
577965,65+,male,majority,30y+,high school,middle class,0.4219579486132668,owned,before 2015,0.0,1.0,10238,11000.0,sedan,4,0,6,no claim
818248,40-64,male,majority,20-29y,university,upper class,0.5843548496662949,owned,before 2015,0.0,0.0,10238,12000.0,sedan,1,0,2,no claim
491438,16-25,male,majority,0-9y,none,poverty,0.5250327586154788,leased,before 2015,0.0,0.0,10238,9000.0,sedan,0,0,0,claim
896587,65+,female,majority,30y+,high school,upper class,0.5581569698935803,owned,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,no claim
431538,16-25,male,majority,0-9y,high school,poverty,0.19414954837432,leased,before 2015,1.0,0.0,10238,12000.0,sports car,0,0,0,claim
164516,16-25,male,majority,0-9y,high school,poverty,0.300497330390378,leased,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,claim
479577,40-64,female,majority,20-29y,university,upper class,0.6670906918498556,owned,after 2015,1.0,1.0,10238,7000.0,sedan,4,0,0,no claim
395233,40-64,male,majority,0-9y,high school,upper class,0.6130724079074048,owned,before 2015,1.0,0.0,10238,12000.0,sedan,0,0,0,claim
221838,40-64,male,majority,10-19y,university,upper class,0.5250327586154788,owned,after 2015,1.0,0.0,10238,11000.0,sedan,3,0,2,no claim
938476,26-39,male,minority,10-19y,high school,middle class,0.5952817629709132,owned,before 2015,1.0,1.0,32765,8000.0,sedan,1,0,1,no claim
112454,26-39,male,majority,0-9y,none,poverty,0.3482357882933829,leased,before 2015,1.0,1.0,32765,7000.0,sedan,0,0,0,claim
91246,26-39,male,majority,10-19y,high school,working class,0.3566396714745861,owned,after 2015,1.0,1.0,10238,8000.0,sedan,3,0,1,no claim
2743,26-39,female,majority,10-19y,none,working class,0.3486591269429803,leased,before 2015,1.0,0.0,21217,12000.0,sedan,0,0,0,claim
248888,40-64,male,majority,0-9y,high school,middle class,0.5594684860915574,owned,before 2015,0.0,1.0,32765,12000.0,sedan,0,0,0,claim
195523,16-25,male,majority,0-9y,high school,poverty,0.514483730987584,leased,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,claim
981926,40-64,female,majority,20-29y,university,upper class,0.5626384060668865,owned,after 2015,0.0,1.0,10238,13000.0,sedan,2,1,0,no claim
